DATA_ACIONA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-16;31-60;Robô;1;56,7;1;56,7;1;56,7;1;56,7;12;Q3;9;Set
2025-09-16;121-150;Robô;1;59,8;1;59,8;0;0,0;0;0,0;12;Q3;9;Set
2025-09-16;151-180;Robô;2;1952,1;0;0,0;0;0,0;0;0,0;12;Q3;9;Set
2025-09-16;361-720;Humano;288;164450,85;56;28668,86;38;18578,670000000002;11;1634,63;12;Q3;9;Set
2025-09-16;Maior 720;Humano;28;8486,31;9;1319,5;2;119,6;2;119,6;12;Q3;9;Set
2025-09-17;0-30;Humano;1;51,54;1;51,54;1;51,54;1;51,54;13;Q3;9;Set
2025-09-17;0-30;Robô;4;261,34000000000003;2;101,54;1;79,9;1;79,9;13;Q3;9;Set
2025-09-17;31-60;Robô;3;399,5;3;399,5;2;319,6;1;239,7;13;Q3;9;Set
2025-09-17;91-120;Robô;1;59,8;1;59,8;0;0,0;0;0,0;13;Q3;9;Set
2025-09-17;361-720;Humano;219;137868,75;41;20893,55;29;13089,380000000001;6;990,21;13;Q3;9;Set
2025-09-17;Maior 720;Humano;19;4819,78;6;1828,0;4;1772,45;2;792,01;13;Q3;9;Set
2025-09-18;Preventivo;Humano;4;286,54;1;79,9;0;0,0;0;0,0;14;Q3;9;Set
2025-09-18;0-30;Robô;1;79,9;1;79,9;0;0,0;0;0,0;14;Q3;9;Set
2025-09-18;31-60;Robô;3;843,97;2;841,62;2;841,62;0;0,0;14;Q3;9;Set
2025-09-18;91-120;Robô;2;180,42000000000002;1;150,52;0;0,0;0;0,0;14;Q3;9;Set
2025-09-18;121-150;Robô;1;180,23000000000002;1;180,23000000000002;1;180,23000000000002;0;0,0;14;Q3;9;Set
2025-09-18;361-720;Humano;139;79107,78;31;14834,52;25;11915,53;9;2397,6;14;Q3;9;Set
2025-09-18;Maior 720;Humano;5;2095,5699999999997;2;1231,81;1;512,61;0;0,0;14;Q3;9;Set
2025-09-19;181-360;Humano;1;799,0999999999999;0;0,0;0;0,0;0;0,0;15;Q3;9;Set
2025-09-19;361-720;Humano;97;58010,93;23;11403,59;17;9713,9;11;4580,51;15;Q3;9;Set
2025-09-19;Maior 720;Humano;7;2974,08;2;1338,7;2;1338,7;0;0,0;15;Q3;9;Set
2025-09-20;361-720;Humano;68;48164,46;10;4694,31;8;3820,18;3;1018,6999999999999;15;Q3;9;Set
2025-09-22;Preventivo;Humano;5;224,04;5;224,04;0;0,0;0;0,0;16;Q3;9;Set
2025-09-22;361-720;Humano;158;100409,62000000001;34;20991,420000000002;26;12697,14;1;79,9;16;Q3;9;Set
2025-09-23;361-720;Humano;39;24208,43;7;3143,92;5;2201,7200000000003;1;159,8;17;Q3;9;Set
2025-09-24;361-720;Humano;136;92193,19;33;19428,95;24;13160,47;11;3673,8100000000004;18;Q3;9;Set
2025-09-25;0-30;Humano;12;4373,65;5;349,5;5;349,5;5;349,5;19;Q3;9;Set
2025-09-25;31-60;Humano;43;10822,6;11;2203,0;11;2203,0;7;539,2;19;Q3;9;Set
2025-09-25;61-90;Humano;9;3393,6099999999997;4;1529,1399999999999;2;90,74;1;30,84;19;Q3;9;Set
2025-09-25;91-120;Humano;17;5724,23;1;313,26;0;0,0;0;0,0;19;Q3;9;Set
2025-09-25;121-150;Humano;26;10860,66;6;4340,75;2;669,1999999999999;0;0,0;19;Q3;9;Set
2025-09-25;151-180;Humano;17;6593,1;1;174,12;1;174,12;0;0,0;19;Q3;9;Set
2025-09-25;361-720;Humano;21;6852,29;12;4236,530000000001;12;4236,530000000001;9;3938,2400000000002;19;Q3;9;Set
2025-09-26;0-30;Humano;8;2457,1;5;1498,1999999999998;4;858,9;1;79,9;20;Q3;9;Set
2025-09-26;31-60;Humano;20;6895,43;7;1424,85;6;1424,1299999999999;3;390,11;20;Q3;9;Set
2025-09-26;61-90;Humano;12;5333,049999999999;6;3016,65;5;2614,52;1;79,9;20;Q3;9;Set
