DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-08;31-60;Robô;1016,0;164422,22000000003;945,0;150031,41;205,0;29204,28;53,0;6168,29;6;Q3;9;Set
2025-09-08;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;6;Q3;9;Set
2025-09-08;91-120;Robô;1105,0;167678,53999999998;1049,0;157998,38;162,0;25160,829999999998;51,0;6452,900000000001;6;Q3;9;Set
2025-09-08;121-150;Robô;1467,0;226750,23;1358,0;208842,27;205,0;30417,399999999994;71,0;11803,309999999998;6;Q3;9;Set
2025-09-08;151-180;Robô;646,0;126618,20000000001;601,0;114849,75;90,0;19922,979999999996;19,0;2135,7300000000005;6;Q3;9;Set
2025-09-08;181-360;Robô;4090,0;1032224,9299999999;3803,0;959975,79;531,0;141934,82;104,0;11423,36;6;Q3;9;Set
2025-09-08;361-720;Robô;8,0;3566,96;2,0;1142,2599999999998;0,0;0,0;0,0;0,0;6;Q3;9;Set
2025-09-08;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;Q3;9;Set
2025-09-09;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;Q3;9;Set
2025-09-09;0-30;Robô;3703,0;335161,66;3493,0;313997,36;757,0;63527,59999999999;241,0;18917,76;7;Q3;9;Set
2025-09-09;31-60;Robô;1017,0;166418,41000000003;946,0;152027,6;206,0;31200,469999999998;54,0;8164,4800000000005;7;Q3;9;Set
2025-09-09;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;7;Q3;9;Set
2025-09-09;91-120;Robô;1093,0;166713,34999999998;1038,0;157086,04;162,0;25160,829999999998;51,0;6452,900000000001;7;Q3;9;Set
2025-09-09;121-150;Robô;1628,0;245336,68;1516,0;227061,71000000002;244,0;35714,5;89,0;13430,53;7;Q3;9;Set
2025-09-09;151-180;Robô;718,0;134921,88;666,0;122624,55;106,0;21149,989999999998;27,0;2844,7800000000007;7;Q3;9;Set
2025-09-09;181-360;Robô;4800,0;1200202,11;4479,0;1121374,98;677,0;171730,28000000003;125,0;14176,650000000001;7;Q3;9;Set
2025-09-09;361-720;Robô;11,0;4491,509999999999;3,0;1202,06;0,0;0,0;0,0;0,0;7;Q3;9;Set
2025-09-09;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;Q3;9;Set
2025-09-10;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8;Q3;9;Set
